,Zone,Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,PIB par habitant,Stabilité politique,Population
6,Antigua-et-Barbuda,54.1,17.77,7.0,0.0,7.0,19840.3,0.75,
33,"Chine, Taiwan Province de",33.17,11.01,785.0,8.0,161.0,,0.86,23674546.0
34,"Chine, continentale",12.33,3.96,18161.0,576.0,452.0,,,1421021791.0
40,Cuba,23.72,7.12,342.0,-25.720000000000027,312.0,,0.65,11339254.0
43,Djibouti,2.68,0.92,3.0,,3.0,4905.0,-0.74,944099.0
44,Dominique,35.19,11.52,4.0,0.0,4.0,11341.3,1.2,
56,Grenade,45.7,15.5,8.0,-45.7,7.0,16217.5,1.01,
80,Kiribati,17.98,6.65,2.0,-17.98,1.0,2069.1,0.88,
92,Maldives,13.5,4.7,12.0,,12.0,18057.9,0.23,496402.0
108,Nouvelle-Calédonie,38.71,14.05,11.0,-40.71,9.0,,,277150.0
113,Ouzbékistan,1.96,0.63,,,,6840.7,-0.24,31959785.0
120,Polynésie française,47.4,16.2,15.0,0.0,15.0,,,276102.0
130,République démocratique populaire lao,10.91,3.59,,,,7257.8,0.4,6953035.0
131,République populaire démocratique de Corée,1.62,0.49,43.0,0.0,0.0,,-0.5,25429825.0
133,Saint-Kitts-et-Nevis,55.77,19.22,4.0,0.0,4.0,26980.3,0.65,
134,Saint-Vincent-et-les Grenadines,72.31,25.1,8.0,-70.31,9.0,13102.1,0.89,
135,Sainte-Lucie,56.69,19.0,11.0,-56.69,10.0,14928.4,0.99,
136,Samoa,64.77,21.88,15.0,0.0,17.0,6486.1,1.18,
137,Sao Tomé-et-Principe,9.47,3.21,2.0,-7.470000000000001,2.0,3952.9,0.19,
161,Venezuela (République bolivarienne du),20.28,7.23,626.0,0.0,25.0,,-1.27,29402484.0
163,Yémen,8.53,3.04,246.0,0.0,78.0,,-2.94,27834819.0
172,Andorre,,,,,,,1.42,
173,Bahreïn,,,,,,47709.8,-0.96,1494076.0
174,Bermudes,,,,,,81835.0,1.0,
175,Bhoutan,,,,,,11142.5,1.12,745563.0
176,Brunéi Darussalam,,,,,,60994.5,1.16,424473.0
177,Burundi,,,,,,773.6,-2.01,10827019.0
178,Chine,,,,,,14520.8,,
179,Comores,,,,,,3032.3,0.04,813892.0
180,Groenland,,,,,,,1.92,
181,Guinée équatoriale,,,,,,22551.0,-0.17,1262002.0
182,Libye,,,,,,23468.0,-2.36,6580724.0
183,Micronésie (États fédérés de),,,,,,3489.7,1.18,
184,Nauru,,,,,,12973.8,0.52,
185,Palaos,,,,,,17768.4,0.87,
186,Palestine,,,,,,6401.7,-1.66,4747227.0
187,Papouasie-Nouvelle-Guinée,,,,,,4285.1,-0.7,8438036.0
188,Porto Rico,,,,,,34363.8,0.48,3163667.0
189,Qatar,,,,,,91738.8,0.66,2724728.0
190,République arabe syrienne,,,,,,,-2.62,17095678.0
191,République démocratique du Congo,,,,,,1059.8,-2.3,81398764.0
192,Samoa américaines,,,,,,,1.22,
193,Seychelles,,,,,,28116.7,0.79,
194,Singapour,,,,,,95310.3,1.62,5708041.0
195,Somalie,,,,,,1079.1,-2.26,14589179.0
196,Soudan du Sud,,,,,,,-2.45,10910763.0
197,Tonga,,,,,,6466.3,0.79,
198,Tuvalu,,,,,,4010.1,1.24,
199,Érythrée,,,,,,,-0.73,3412893.0
200,Îles Marshall,,,,,,3711.4,0.87,
201,Antilles néerlandaises (ex),,,,,,,,275186.0
202,Guadeloupe,,,,,,,,399672.0
203,Guyane française,,,,,,,,275191.0
204,Martinique,,,,,,,,375948.0
205,Mayotte,,,,,,,,252957.0
206,Réunion,,,,,,,,876134.0
207,Sahara occidental,,,,,,,,552615.0
